N,edges
10000,94145
10000,94804
10000,94639
10000,94655
10000,94433
10000,94543
10000,94357
10000,94776
10000,94637
10000,94708
10000,94883
10000,94514
10000,95007
10000,94957
10000,95398
10000,94986
10000,94674
10000,94396
10000,94452
10000,94206
10000,93701
10000,95060
10000,94049
10000,94422
10000,94392
10000,94795
10000,94787
10000,94077
10000,94774
10000,95008
10000,94885
10000,95139
10000,94895
10000,94524
10000,94840
10000,94509
10000,94767
10000,95295
10000,94678
10000,95384
10000,94586
10000,94413
10000,94712
10000,95171
10000,94628
10000,94695
10000,94383
10000,94338
10000,95668
10000,95412
10000,95342
10000,94593
10000,94934
10000,94515
10000,94663
10000,94524
10000,95350
10000,95178
10000,94855
10000,95079
10000,94709
10000,94349
10000,94504
10000,95214
10000,94747
10000,94698
10000,94753
10000,94437
10000,94312
10000,94921
10000,95029
10000,94917
10000,94548
10000,94256
10000,94971
10000,94925
10000,94669
10000,94780
10000,94947
10000,94010
10000,94526
10000,94532
10000,94417
10000,95126
10000,95358
10000,94191
10000,94364
10000,95014
10000,94886
10000,94936
10000,94596
10000,94408
10000,94147
10000,94512
10000,94683
10000,94227
10000,95039
10000,95006
10000,94673
10000,94486
10000,95081
10000,94635
10000,95028
10000,94990
10000,94867
10000,94361
10000,94588
10000,94265
10000,94718
10000,94774
10000,94874
10000,94599
10000,94621
10000,95073
10000,94120
10000,94805
10000,94845
10000,94815
10000,94171
10000,94673
10000,94542
10000,94729
10000,94612
10000,95002
10000,95191
10000,95180
10000,95209
10000,94417
10000,94646
10000,94650
10000,95021
10000,94280
10000,94468
10000,94700
10000,94424
10000,94522
10000,94742
10000,95068
10000,94208
10000,94615
10000,94150
10000,94696
10000,95005
10000,94691
10000,94410
10000,94863
10000,94735
10000,94893
10000,94987
10000,94568
10000,94490
10000,94259
10000,95102
10000,94916
10000,94828
10000,94529
10000,94866
10000,94026
10000,94396
10000,94997
10000,94769
10000,94924
10000,95098
10000,94955
10000,94498
10000,94519
10000,94489
10000,94219
10000,94735
10000,94458
10000,94835
10000,95411
10000,94202
10000,94819
10000,95503
10000,94574
10000,94430
10000,94380
10000,94825
10000,94257
10000,94675
10000,95161
10000,94635
10000,94903
10000,94680
10000,94457
10000,94658
10000,94429
10000,94735
10000,94802
10000,94737
10000,94723
10000,94901
10000,94769
10000,94499
10000,94894
10000,94268
10000,94861
10000,94935
10000,95379
10000,94662
10000,94709
10000,94899
10000,95079
10000,94651
10000,94828
10000,94665
10000,94665
10000,94989
10000,94529
10000,95046
10000,94858
10000,94432
10000,94425
10000,95065
10000,94922
10000,94269
10000,94883
10000,94726
10000,94633
10000,94548
10000,94322
10000,94413
10000,94595
10000,95213
10000,94803
10000,94979
10000,94458
10000,95076
10000,94937
10000,94391
10000,94322
10000,94506
10000,95096
10000,94497
10000,95046
10000,94477
10000,94762
10000,94729
10000,94657
10000,93962
10000,94825
10000,94840
10000,94901
10000,94622
10000,94685
10000,94653
10000,94145
10000,95277
10000,94750
10000,94488
10000,94484
10000,94792
10000,94832
10000,94933
10000,94296
10000,94813
10000,95214
10000,94749
10000,94618
10000,94556
10000,94461
10000,94714
10000,94203
10000,94591
10000,94761
10000,95293
10000,94451
10000,94843
10000,94741
10000,94598
10000,94999
10000,94227
10000,95086
10000,94576
10000,94753
