tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted
1596303349074493442	RT @MarshaBlackburn: Communist China's failed zero-COVID policy has resulted in record infections, destroyed livelihoods, and created a men…	1134993302472810496			['278145569']	1.5962906386049475e+18
1596303350584197120	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	1452558403			['341190477']	1.596239080152408e+18
1596303350332788738	RT @LegionSteves: @ScottAdamsSays Friend of mine has a dad who is up there in age, but exercised like he was half that age. Bicycle tours a…	1536440325052452864			['1502448160148439046', '2853461537']	1.5957834953598198e+18
1596303350735462400	@brclothwrites Haha you got DOUBLE covid 😂😭	1195210646	1.530297902366597e+18	1.5963031975425352e+18	['1530297902366597128']	
1596303350865141760	"RT @MeetJess: COVID-19 diagnosis raises risk of heart attack, stroke 

« In the week after a COVID-19 diagnosis, the risk of a first heart…"	823668549856002048			['312412918']	1.5962936263168287e+18
1596303351188443136	Just spent $40 to doordash Panera but I have Covid soo it’s fine	768213937				
1596303351310069760	RT @DiedSuddenly_: Prominent Virologist Dr. A. Oveta Fuller, who advocated for emergency use authorization of three Covid vaccines, has sud…	388936179			['1577761560394665984']	1.5961453504143729e+18
1596303351481671681	@tomking9in @Dandelionh3art The vaccine doesn’t prevent you from contracting the virus. It lessens the severity of the virus when it’s contracted. Like the flu vaccine. And it wasn’t “experimental”. It just didn’t have to go through all the red tape that delays other drugs from reaching the market.	1462592359309451268	1.4942546354477343e+18	1.596251801908482e+18	['1494254635447734274', '1438177387745849352']	
1596303351779848192	RT @LCAIreland: Did you know some people w #LongCovid have their LC triggered by vaccine rather than infection. We see greater number whose…	1225481746977783808			['1569774100759052288']	1.5960270611725926e+18
1596303351632855040	RT @ezralevant: Flashback: Trudeau's lockdown.	17829578			['20878297']	1.5962270682449306e+18
1596303352513851392	RT @BOConnorMP: Victorian Labor &amp; @DanielAndrewsMP have continued to deliver for Victorians. During the pandemic it made the hard decisions…	1397499903572512768			['611598902', '228535666']	1.5962639018760602e+18
1596303352895508480	"RT @DrJudyAMikovits: Please remember!

I am calling for a #moratorium on all #vaccines until the entire schedule is #safety tested!

#truth…"	1422065990			['1251638956359385089']	1.5962046015852544e+18
1596303353130192896	RT @lovlysal: he would’ve had house targaryen on lockdown!!! baela popping out babies like the mother she is, dragons thriving, dorne would…	1489397184915128327			['1153799467692261380']	1.5962824887871242e+18
1596303353134260224	@lisavation I am suggesting we move the 5 person meeting from a 5 person conference room to a large 20-person one. N95 Aura will be staying on for sure. Hopefully that will be enough.	2872394143	8.515137870731264e+17	1.59627065740245e+18	['851513787073126402']	
1596303353683890177	"RT @morethanmySLE: If you are still wearing a mask to protect yourself &amp; others from Covid, please reply with 😷

😷😷😷😷😷😷😷😷"	1009515484990050304			['812361923304034304']	1.5962829343525765e+18
1596303353998458881	"RT @DrJBhattacharya: ""Emily Jo was never warned of the myocarditis risk or informed about the risk-benefit profile. “When I took Aiden to g…"	1279715975651381253			['1427361863830949908']	1.596200183297024e+18
1596303354166411264	"RT @TPostMillennial: FLASHBACK: Trudeau referred to Canadians opposed to his government's Covid-19 policies as members of ""anti-vax mobs"" w…"	819734722032988160			['896731633704947712']	1.59630243766451e+18
1596303354094911489	@ArcFlashMe86 @Zadz74 @RachelNotley Its not about the masks or covid, its about them imposing rules and feeling morally superior for yelling at someone who isn't wearing the muzzle	968541764	1.5860084115732275e+18	1.596254171409584e+18	['1586008411573227520', '129114265', '42836999']	
1596303354497363968	RT @CalvinE43701301: @medwoman1 @DeplorableNew @WheezingGeek @Gigi69030829 @essig_sherry @TwoSides1Truth @DryOldFox1 @chefwanda5 @BrandonJT…	297637202			['1428048511547973636', '49171346', '850732390972522496', '17127559', '1296924452836397056', '1329551949151293443', '297637202', '1464795076412981249', '1219053078630076417']	1.5962964158980588e+18
1596303355684749312	RT @dontwantadothis: What do you do if people aren't respecting your own limits, re: Covid risk activity? Read this new essay on boundaries…	1167712356983402497			['1184221955769229312']	1.5890232125153894e+18
1596303356347064320	"RT @BilsonhBilson: ⚡️Twitter is tweaking with tremendous support for Dan Andrews in the Victorian Election!
 It’s heart warming to see all…"	1425742000867868676			['1052232914']	1.596047351063642e+18
1596303357471518720	RT @KimDotcom: I have a feeling that @Pfizer and @AlbertBourla won’t have the future they are hoping for. Same for Fauci, Daszak and everyo…	841023932694171648			['611986351', '56488059', '1154781658933006337']	1.5958097514386145e+18
1596303358654320640	RT @akheriaty: 7/ The U.S. &amp; U.K. followed Italy’s lockdown, which had followed China, and all but a handful of countries around the globe…	218981783			['54322957']	1.5959016356662477e+18
1596303359296012288	RT @ChinaUncensored: Protests against Zero Covid allegedly in Guangzhou. https://t.co/kEEb2SIroy	1313667106450345985			['833100331']	1.5961120292696105e+18
1596303359455252480	RT @JonathanTurley: ...These companies were fine with Twitter censoring free speech and blocking stories like the Hunter Biden laptop scand…	1053111894767071232			['94784682']	1.5962733268756316e+18
